File                All Objects Within Room Bounds  Objects Not Overlap  Overall Layout Quality  Functionality of the Layout  Ergonomic Placements  Readiness to Pay     Final Grade          
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1_evaluation.txt    1.0                             1.0                  0.6                     0.7                          0.7                   0.5                  0.75                 
3_evaluation.txt    1.0                             1.0                  0.3                     0.4                          0.3                   0.0                  0.5                  
4_evaluation.txt    1.0                             1.0                  0.5                     0.6                          0.4                   0.3                  0.633                
5_evaluation.txt    1.0                             1.0                  0.3                     0.2                          0.3                   0.0                  0.467                
6_evaluation.txt    1.0                             1.0                  0.4                     0.3                          0.3                   0.0                  0.5                  
8_evaluation.txt    1.0                             1.0                  0.6                     0.5                          0.4                   0.3                  0.633                
9_evaluation.txt    1.0                             0.9                  0.5                     0.6                          0.4                   0.0                  0.567                
10_evaluation.txt   1.0                             1.0                  0.2                     0.2                          0.3                   0.0                  0.45                 
11_evaluation.txt   1.0                             1.0                  0.4                     0.5                          0.4                   0.0                  0.55                 
12_evaluation.txt   1.0                             1.0                  0.6                     0.7                          0.6                   0.4                  0.717                
13_evaluation.txt   1.0                             1.0                  0.2                     0.1                          0.1                   0.0                  0.4                  
14_evaluation.txt   1.0                             1.0                  0.4                     0.6                          0.5                   0.0                  0.583                
15_evaluation.txt   1.0                             1.0                  0.4                     0.3                          0.4                   0.0                  0.517                
16_evaluation.txt   1.0                             1.0                  0.4                     0.3                          0.4                   0.0                  0.517                
17_evaluation.txt   1.0                             1.0                  0.2                     0.3                          0.4                   0.0                  0.483                
18_evaluation.txt   1.0                             1.0                  0.3                     0.2                          0.2                   0.0                  0.45                 
19_evaluation.txt   1.0                             1.0                  0.75                    0.65                         0.7                   0.5                  0.767                
20_evaluation.txt   1.0                             1.0                  0.5                     0.4                          0.4                   0.0                  0.55                 
21_evaluation.txt   1.0                             1.0                  0.4                     0.3                          0.3                   0.0                  0.5                  
22_evaluation.txt   1.0                             1.0                  0.4                     0.6                          0.5                   0.2                  0.617                
23_evaluation.txt   1.0                             1.0                  0.6                     0.5                          0.6                   0.3                  0.667                
24_evaluation.txt   1.0                             1.0                  0.3                     0.4                          0.4                   0.0                  0.517                
25_evaluation.txt   1.0                             1.0                  0.2                     0.1                          0.2                   0.0                  0.417                
26_evaluation.txt   1.0                             1.0                  0.4                     0.5                          0.4                   0.0                  0.55                 
27_evaluation.txt   1.0                             1.0                  0.6                     0.5                          0.4                   0.3                  0.633                
28_evaluation.txt   1.0                             1.0                  0.5                     0.6                          0.4                   0.3                  0.633                
29_evaluation.txt   1.0                             1.0                  0.3                     0.4                          0.3                   0.0                  0.5                  
30_evaluation.txt   1.0                             1.0                  0.85                    0.8                          0.75                  0.7                  0.85                 
31_evaluation.txt   1.0                             1.0                  0.75                    0.8                          0.7                   0.6                  0.808                
32_evaluation.txt   1.0                             1.0                  0.5                     0.6                          0.7                   0.3                  0.683                
33_evaluation.txt   1.0                             1.0                  0.2                     0.2                          0.3                   0.0                  0.45                 
34_evaluation.txt   1.0                             1.0                  0.8                     0.85                         0.75                  0.6                  0.833                
35_evaluation.txt   1.0                             1.0                  0.85                    0.8                          0.75                  0.6                  0.833                
36_evaluation.txt   1.0                             1.0                  0.85                    0.8                          0.75                  0.65                 0.842                
37_evaluation.txt   1.0                             1.0                  0.3                     0.4                          0.3                   0.0                  0.5                  
38_evaluation.txt   1.0                             1.0                  0.3                     0.2                          0.3                   0.0                  0.467                
39_evaluation.txt   1.0                             1.0                  0.2                     0.2                          0.3                   0.0                  0.45                 
40_evaluation.txt   1.0                             1.0                  0.5                     0.6                          0.6                   0.3                  0.667                
41_evaluation.txt   1.0                             1.0                  0.6                     0.7                          0.6                   0.0                  0.65                 
42_evaluation.txt   1.0                             1.0                  0.4                     0.5                          0.4                   0.0                  0.55                 
43_evaluation.txt   1.0                             1.0                  0.2                     0.1                          0.2                   0.0                  0.417                
44_evaluation.txt   1.0                             1.0                  0.3                     0.2                          0.2                   0.0                  0.45                 
45_evaluation.txt   1.0                             1.0                  0.4                     0.5                          0.3                   0.2                  0.567                
46_evaluation.txt   1.0                             1.0                  0.4                     0.6                          0.5                   0.0                  0.583                
47_evaluation.txt   1.0                             1.0                  0.3                     0.4                          0.4                   0.0                  0.517                
48_evaluation.txt   1.0                             1.0                  0.4                     0.6                          0.5                   0.0                  0.583                
49_evaluation.txt   1.0                             1.0                  0.5                     0.6                          0.4                   0.3                  0.633                
50_evaluation.txt   1.0                             1.0                  0.3                     0.4                          0.4                   0.0                  0.517                
52_evaluation.txt   1.0                             1.0                  0.8                     0.7                          0.7                   0.6                  0.8                  
53_evaluation.txt   1.0                             1.0                  0.3                     0.4                          0.3                   0.0                  0.5                  
54_evaluation.txt   1.0                             1.0                  0.3                     0.2                          0.4                   0.0                  0.483                
55_evaluation.txt   1.0                             1.0                  0.6                     0.5                          0.4                   0.3                  0.633                
56_evaluation.txt   1.0                             1.0                  0.3                     0.4                          0.3                   0.0                  0.5                  
57_evaluation.txt   1.0                             1.0                  0.6                     0.7                          0.5                   0.3                  0.683                
58_evaluation.txt   1.0                             1.0                  0.4                     0.6                          0.5                   0.0                  0.583                
59_evaluation.txt   1.0                             1.0                  0.2                     0.3                          0.3                   0.0                  0.467                
60_evaluation.txt   1.0                             1.0                  0.6                     0.7                          0.6                   0.0                  0.65                 
61_evaluation.txt   1.0                             1.0                  0.3                     0.4                          0.5                   0.0                  0.533                
62_evaluation.txt   1.0                             1.0                  0.7                     0.6                          0.6                   0.5                  0.733                
63_evaluation.txt   1.0                             1.0                  0.6                     0.5                          0.4                   0.3                  0.633                
64_evaluation.txt   1.0                             1.0                  0.6                     0.5                          0.4                   0.3                  0.633                
65_evaluation.txt   1.0                             1.0                  0.2                     0.1                          0.3                   0.0                  0.433                
66_evaluation.txt   1.0                             1.0                  0.4                     0.5                          0.3                   0.0                  0.533                
67_evaluation.txt   1.0                             1.0                  0.8                     0.75                         0.7                   0.6                  0.808                
68_evaluation.txt   1.0                             1.0                  0.7                     0.6                          0.6                   0.5                  0.733                
69_evaluation.txt   1.0                             1.0                  0.4                     0.5                          0.4                   0.2                  0.583                
70_evaluation.txt   1.0                             1.0                  0.5                     0.6                          0.4                   0.0                  0.583                
